environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,gap,static,0,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.9048233428056756,-0.9048233428056756,0.7272634579465769,-0.7272634579465769,0.018000000000000002,0.018000000000000002,0.14,0.0,0.14,0.0,0.0,0.019559884859098722,0,0,0,0.6,0.4,14,30,30,1,0.0
cartpole,gap,static,1,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2097.634533397004,-2097.634533397004,90.55747105656944,-90.55747105656944,0.013000000000000001,0.013000000000000001,0.060000000000000005,0.0,0.060000000000000005,2000.0,2000.0,7.004062340434749,20,20,1,0.43333333333333335,0.5666666666666667,3,30,30,1,2096.6742908925144
cartpole,gap,static,1,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.9081843062237893,-0.9081843062237893,0.7241018123834195,-0.7241018123834195,0.017000000000000005,0.017000000000000005,0.13,0.0,0.13,0.0,0.0,0.037082493840370045,0,0,0,0.5666666666666667,0.43333333333333335,13,30,30,1,-0.05205819826577385
cartpole,gap,static,1,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,742.3760311508956,-742.3760311508956,34.4054807696052,-34.4054807696052,0.022000000000000006,0.022000000000000006,0.45,0.0,0.45,700.0,700.0,7.498550381290375,7,7,1,0.7333333333333333,0.26666666666666666,21,30,30,1,741.4157886464061
cartpole,gap,static,1,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.9602425044895632,-0.9602425044895632,0.7772196970200098,-0.7772196970200098,0.022000000000000006,0.022000000000000006,0.15000000000000002,0.0,0.15000000000000002,0.0,0.0,0.011022807469553461,0,0,0,0.7333333333333333,0.26666666666666666,15,30,30,1,0.0
cartpole,gap,piecewise,0,kh_dual_control,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,2097.615651543304,-2097.615651543304,90.49603073502453,-90.49603073502453,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,7.087620808280024,20,20,1,0.4,0.6,2,30,30,1,2096.7654893300232
cartpole,gap,piecewise,0,arcari_dual_smpc,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.8784576147401056,-0.8784576147401056,0.7117498383209319,-0.7117498383209319,0.015000000000000003,0.015000000000000003,0.12999999999999998,0.0,0.12999999999999998,0.0,0.0,0.021707776419173756,0,0,0,0.5,0.5,13,30,30,1,0.02829540145911935
cartpole,gap,piecewise,0,tv_gp_lcb,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,435.6018715153811,-435.6018715153811,27.588064593559913,-27.588064593559913,0.024000000000000007,0.024000000000000007,0.55,0.0,0.55,400.0,400.0,7.439806921821168,4,4,1,0.8,0.2,22,30,30,1,434.7517093021001
cartpole,gap,piecewise,0,oracle_trend,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.8501622132809863,-0.8501622132809863,0.6801977225204796,-0.6801977225204796,0.021000000000000005,0.021000000000000005,0.14,0.0,0.14,0.0,0.0,0.008964490760506778,0,0,0,0.7,0.3,14,30,30,1,0.0
cartpole,gap,piecewise,1,kh_dual_control,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,2096.532492840651,-2096.532492840651,89.49643050021615,-89.49643050021615,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,7.004062340434749,20,20,1,0.4,0.6,2,30,30,1,2095.527300097982
cartpole,gap,piecewise,1,arcari_dual_smpc,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.8285875409607742,-0.8285875409607742,0.6535250458317844,-0.6535250458317844,0.019000000000000003,0.019000000000000003,0.14,0.0,0.14,0.0,0.0,0.016062495128989888,0,0,0,0.6333333333333333,0.36666666666666664,14,30,30,1,-0.17660520170833915
cartpole,gap,piecewise,1,tv_gp_lcb,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,637.6292353268663,-637.6292353268663,29.999982575640754,-29.999982575640754,0.023000000000000007,0.023000000000000007,0.48,0.0,0.48,600.0,600.0,7.126252751225472,6,6,1,0.7666666666666667,0.23333333333333334,21,30,30,1,636.6240425841971
cartpole,gap,piecewise,1,oracle_trend,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,1.0051927426691134,-1.0051927426691134,0.8181187194390288,-0.8181187194390288,0.024000000000000007,0.024000000000000007,0.13,0.0,0.13,0.0,0.0,0.033074023230084744,0,0,0,0.8,0.2,13,30,30,1,0.0
cartpole,gap,drifting,0,kh_dual_control,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,2099.047017293903,-2099.047017293903,91.90965145541179,-91.90965145541179,0.013000000000000001,0.013000000000000001,0.060000000000000005,0.0,0.060000000000000005,2000.0,2000.0,7.064365838491652,20,20,1,0.43333333333333335,0.5666666666666667,3,30,30,1,2098.072276015341
cartpole,gap,drifting,0,arcari_dual_smpc,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,0.9747412785622819,-0.9747412785622819,0.8046055870312359,-0.8046055870312359,0.020000000000000004,0.020000000000000004,0.14,0.0,0.14,0.0,0.0,0.010135691531046247,0,0,0,0.6666666666666666,0.3333333333333333,14,30,30,1,0.0
