environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,n_initial_calibration,initial_calibration_policy,observation_interval,oracle_regret
cartpole,no_gap,drifting,1,kh_dual_control,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9333453081832594,1.0550190716887387,0.1216737635054792,0.03571428069989954,50,49,1,49,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481;0.957776284306;1.00034417799;0.978102041842;0.97065943149;1.01166156648;1.02453731857;1.03767589943;1.0272073925;0.994109852118;0.997488597742;0.99968143651;0.975135988242;0.961595775065;0.960346922596;0.941650155521;0.939976505387;0.942186283409;0.943187076733;0.933345308183;0.945553543078,1.1147766377429023,-1.1147766377429023,0.9715299012241416,-0.9715299012241416,0.00026752315374864,0.00026752315374864,0.004420538564787681,0.0,0.004420538564787681,0.0,0.0,0.1385586748002241,0,0,0,0.049104196036560854,0.0,50,50,50,20,small_random,1,-0.01646884414251315
cartpole,no_gap,drifting,1,arcari_dual_smpc,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9333453081832594,1.0550190716887387,0.1216737635054792,0.03571428069989954,50,49,1,49,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481;0.957776284306;1.00034417799;0.978102041842;0.97065943149;1.01166156648;1.02453731857;1.03767589943;1.0272073925;0.994109852118;0.997488597742;0.99968143651;0.975135988242;0.961595775065;0.960346922596;0.941650155521;0.939976505387;0.942186283409;0.943187076733;0.933345308183;0.945553543078,1.0457323785973156,-1.0457323785973156,0.7668071932985795,-0.7668071932985795,0.0009926161512346138,0.0009926161512346138,0.009883844854375849,0.0,0.009883844854375849,0.0,0.0,0.2680487242931258,0,0,0,0.0585551052434841,0.0,50,50,50,20,small_random,1,-0.0855131032880998
cartpole,no_gap,drifting,1,tv_gp_lcb,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9333453081832594,1.0550190716887387,0.1216737635054792,0.03571428069989954,50,49,1,49,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481;0.957776284306;1.00034417799;0.978102041842;0.97065943149;1.01166156648;1.02453731857;1.03767589943;1.0272073925;0.994109852118;0.997488597742;0.99968143651;0.975135988242;0.961595775065;0.960346922596;0.941650155521;0.939976505387;0.942186283409;0.943187076733;0.933345308183;0.945553543078,20.05214671690716,-20.05214671690716,13.362671885697338,-13.362671885697338,0.03466666666666667,0.03466666666666667,0.7033333333333334,0.0,0.7033333333333334,0.0,0.0,5.951474831209821,0,0,0,0.7466666666666667,0.12,41,50,50,20,small_random,1,18.920901235021745
cartpole,no_gap,drifting,1,oracle_trend,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9333453081832594,1.0550190716887387,0.1216737635054792,0.03571428069989954,50,49,1,49,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481;0.957776284306;1.00034417799;0.978102041842;0.97065943149;1.01166156648;1.02453731857;1.03767589943;1.0272073925;0.994109852118;0.997488597742;0.99968143651;0.975135988242;0.961595775065;0.960346922596;0.941650155521;0.939976505387;0.942186283409;0.943187076733;0.933345308183;0.945553543078,1.1312454818854154,-1.1312454818854154,0.8118745919123581,-0.8118745919123581,0.0016666666666666668,0.0016666666666666668,0.02444444444444445,0.0,0.02444444444444445,0.0,0.0,0.29325977886194626,0,0,0,0.06,0.86,11,50,50,0,small_random,1,0.0
cartpole,gap,static,0,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,4.151014540315232,-4.151014540315232,3.872776458956749,-3.872776458956749,0.0019167063102185679,0.0019167063102185679,0.03747470045264823,0.0,0.03747470045264823,0.0,0.0,0.23884667459561623,0,0,0,0.11068644708496783,0.0,50,50,50,20,small_random,1,3.440913878173865
cartpole,gap,static,0,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.666121752652949,-0.666121752652949,0.566578801035594,-0.566578801035594,0.0019884167355447282,0.0019884167355447282,0.014976107120949064,0.0,0.014976107120949064,0.0,0.0,0.08257842776086145,0,0,0,0.09316212004924897,0.0,50,50,50,20,small_random,1,-0.04397890948841776
cartpole,gap,static,0,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2395.0342807501647,-2395.0342807501647,86.28233762684329,-86.28233762684329,0.04244444444444445,0.04244444444444445,0.8722222222222222,0.0,0.8722222222222222,2300.0,2300.0,7.8372764566549495,23,23,1,0.8666666666666666,0.08,34,50,50,20,small_random,1,2394.3241800880232
cartpole,gap,static,0,oracle_trend,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.7101006621413668,-0.7101006621413668,0.5871745449346244,-0.5871745449346244,0.004,0.004,0.03777777777777777,0.0,0.03777777777777777,0.0,0.0,0.0811483394289645,0,0,0,0.15999999999999998,0.62,20,50,50,0,small_random,1,0.0
cartpole,gap,static,1,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.0511305045054455,-1.0511305045054455,0.8984806981491303,-0.8984806981491303,0.00025862153608204795,0.00025862153608204795,0.0023074029119472747,0.0,0.0023074029119472747,0.0,0.0,0.15008378190828608,0,0,0,0.05409335869137968,0.0,50,50,50,20,small_random,1,0.0473168878233865
cartpole,gap,static,1,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1.0057613306679505,-1.0057613306679505,0.7500563389750385,-0.7500563389750385,0.001894289905155791,0.001894289905155791,0.014930962077621948,0.0,0.014930962077621948,0.0,0.0,0.23887973971013468,0,0,0,0.09301869632777475,0.0,50,50,50,20,small_random,1,0.0019477139858914416
