environment,twin_gap,regime,seed,baseline,acc_task_reward,acc_energy_cost,acc_switch_cost,acc_failure_cost,terminal_cost,total_cost,net_reward,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval
scalar,no_gap,piecewise,0,tv_gp_lcb,-13460.164909453837,29.196000000000005,0.0,0.0,231.05175610982548,13720.412665563661,-13720.412665563661,2.148,0.08,39.0,50,50,1
scalar,no_gap,piecewise,1,kh_dual_control,-10.636950023036572,0.3599999999999999,0.0,0.0,0.30201125706906956,11.29896128010564,-11.29896128010564,0.11999999999999998,0.8,15.0,50,50,1
scalar,no_gap,piecewise,1,arcari_dual_smpc,-13.705074272859857,0.3599999999999999,0.0,0.0,0.30201125706906956,14.367085529928929,-14.367085529928929,0.11999999999999998,0.8,15.0,50,50,1
scalar,no_gap,piecewise,1,tv_gp_lcb,-5101.020369462176,28.692,0.0,0.0,7.898598239054099,5137.610967701229,-5137.610967701229,2.124,0.08,39.0,50,50,1
scalar,no_gap,piecewise,2,kh_dual_control,-13.354039450251584,0.35999999999999993,0.0,0.0,0.751919056849449,14.465958507101035,-14.465958507101035,0.11999999999999997,0.8,19.0,50,50,1
scalar,no_gap,piecewise,2,arcari_dual_smpc,-37.288170125892385,0.25199999999999995,0.0,0.0,0.3932953781644037,37.93346550405679,-37.93346550405679,0.08399999999999999,0.86,11.0,50,50,1
scalar,no_gap,piecewise,2,tv_gp_lcb,-5176.064401175582,30.060000000000002,0.0,0.0,594.7322395679842,5800.856640743565,-5800.856640743565,2.2439999999999998,0.04,43.0,50,50,1
scalar,no_gap,drifting,0,kh_dual_control,-12.147203085403126,0.5759999999999997,0.0,0.0,0.1118745957452252,12.835077681148352,-12.835077681148352,0.19199999999999995,0.68,27.0,50,50,1
scalar,no_gap,drifting,0,arcari_dual_smpc,-15.673811372890547,0.35999999999999993,0.0,0.0,0.0146900782853533,16.048501451175905,-16.048501451175905,0.11999999999999997,0.8,17.0,50,50,1
scalar,no_gap,drifting,0,tv_gp_lcb,-8039.92056471744,28.332000000000004,0.0,0.0,68.38862742612295,8136.641192143565,-8136.641192143565,2.124,0.06,41.0,50,50,1
scalar,no_gap,drifting,1,kh_dual_control,-9.031941875155626,0.21599999999999991,0.0,0.0,0.30703237257141774,9.554974247727044,-9.554974247727044,0.07199999999999998,0.88,11.0,50,50,1
scalar,no_gap,drifting,1,arcari_dual_smpc,-11.156977085261271,0.14399999999999996,0.0,0.0,0.33782079045684266,11.638797875718115,-11.638797875718115,0.04799999999999999,0.92,8.0,50,50,1
scalar,no_gap,drifting,1,tv_gp_lcb,-13247.20809113818,28.080000000000005,0.0,0.0,0.0004821749395507172,13275.288573313113,-13275.288573313113,2.112,0.06,41.0,50,50,1
scalar,no_gap,drifting,2,kh_dual_control,-15.00326402867719,0.46799999999999986,0.0,0.0,0.01206313789337967,15.48332716657057,-15.48332716657057,0.15599999999999997,0.74,23.0,50,50,1
scalar,no_gap,drifting,2,arcari_dual_smpc,-16.824583425638696,0.46799999999999986,0.0,0.0,0.013341155215822825,17.305924580854526,-17.305924580854526,0.15599999999999997,0.74,21.0,50,50,1
scalar,no_gap,drifting,2,tv_gp_lcb,-4959.9706721532175,26.712000000000003,0.0,0.0,324.82803649168136,5311.510708644899,-5311.510708644899,2.0879999999999996,0.04,44.0,50,50,1
scalar,gap,static,0,kh_dual_control,-8.723163936214773,0.288,0.0,0.0,0.860466417232089,9.871630353446864,-9.871630353446864,0.09599999999999997,0.84,14.0,50,50,1
scalar,gap,static,0,arcari_dual_smpc,-18.08424790787522,0.324,0.0,0.0,0.055878676295761966,18.46412658417098,-18.46412658417098,0.10799999999999997,0.82,11.0,50,50,1
scalar,gap,static,0,tv_gp_lcb,-87411.79980480153,31.824000000000005,0.0,0.0,3753.230313442257,91196.85411824378,-91196.85411824378,2.328,0.02,42.0,50,50,1
scalar,gap,static,1,kh_dual_control,-14.956612080160948,0.3599999999999999,0.0,0.0,0.6233979012129919,15.940009981373938,-15.940009981373938,0.11999999999999997,0.8,18.0,50,50,1
scalar,gap,static,1,arcari_dual_smpc,-16.26196896656098,0.6119999999999998,0.0,0.0,0.025104656844492614,16.89907362340547,-16.89907362340547,0.20399999999999996,0.66,28.0,50,50,1
scalar,gap,static,1,tv_gp_lcb,-26670.312500712695,27.792000000000005,0.0,0.0,666.7527288854228,27364.857229598118,-27364.857229598118,2.064,0.14,40.0,50,50,1
