environment,twin_gap,regime,seed,baseline,acc_task_reward,acc_energy_cost,acc_switch_cost,acc_failure_cost,terminal_cost,total_cost,net_reward,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval
cartpole,gap,static,1,kh_dual_control,-90.55747105656944,0.013000000000000001,0.060000000000000005,2000.0,7.004062340434749,2097.634533397004,-2097.634533397004,20.0,20.0,1.0,0.43333333333333335,0.5666666666666667,3.0,30,30,1
cartpole,gap,static,1,arcari_dual_smpc,-0.7241018123834195,0.017000000000000005,0.13,0.0,0.037082493840370045,0.9081843062237893,-0.9081843062237893,0.0,0.0,0.0,0.5666666666666667,0.43333333333333335,13.0,30,30,1
cartpole,gap,static,1,tv_gp_lcb,-34.4054807696052,0.022000000000000006,0.45,700.0,7.498550381290375,742.3760311508956,-742.3760311508956,7.0,7.0,1.0,0.7333333333333333,0.26666666666666666,21.0,30,30,1
cartpole,gap,piecewise,0,kh_dual_control,-90.49603073502453,0.012,0.02,2000.0,7.087620808280024,2097.615651543304,-2097.615651543304,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,gap,piecewise,0,arcari_dual_smpc,-0.7117498383209319,0.015000000000000003,0.12999999999999998,0.0,0.021707776419173756,0.8784576147401056,-0.8784576147401056,0.0,0.0,0.0,0.5,0.5,13.0,30,30,1
cartpole,gap,piecewise,0,tv_gp_lcb,-27.588064593559913,0.024000000000000007,0.55,400.0,7.439806921821168,435.6018715153811,-435.6018715153811,4.0,4.0,1.0,0.8,0.2,22.0,30,30,1
cartpole,gap,piecewise,1,kh_dual_control,-89.49643050021615,0.012,0.02,2000.0,7.004062340434749,2096.532492840651,-2096.532492840651,20.0,20.0,1.0,0.4,0.6,2.0,30,30,1
cartpole,gap,piecewise,1,arcari_dual_smpc,-0.6535250458317844,0.019000000000000003,0.14,0.0,0.016062495128989888,0.8285875409607742,-0.8285875409607742,0.0,0.0,0.0,0.6333333333333333,0.36666666666666664,14.0,30,30,1
cartpole,gap,piecewise,1,tv_gp_lcb,-29.999982575640754,0.023000000000000007,0.48,600.0,7.126252751225472,637.6292353268663,-637.6292353268663,6.0,6.0,1.0,0.7666666666666667,0.23333333333333334,21.0,30,30,1
cartpole,gap,drifting,0,kh_dual_control,-91.90965145541179,0.013000000000000001,0.060000000000000005,2000.0,7.064365838491652,2099.047017293903,-2099.047017293903,20.0,20.0,1.0,0.43333333333333335,0.5666666666666667,3.0,30,30,1
