environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums
Toy1,0,ps_bbrpc,BOCPD-BRPC,PS,1,-0.42523053441955533,-0.4256225131492273,1.0,0.5939744374580277,0.5939744374580277,0.95,-1.3811668090320735,0.05,0.4064799099995837,0.0,-1.8376467190316572,-1.3811668090320735,0.05905772618497321,0.44271081473947654,0.0,-1.8829353499565233,8,16,2,,,,,,,"[0.8894738680422565, 0.11052613195774359]","[0, 1]",1.0,0.0,0.0,0.11052613195774359,2.0,"[1.0, 1.0000000000000002]"
Toy1,0,ps_bbrpc,BOCPD-BRPC,PS,2,0.5939744374580277,1.0,0.3980396473322826,1.054431246674415,1.054431246674415,1.05,-0.02434397616653891,0.007921778042420394,0.07247125323676855,0.0,-0.10473700744572785,-1.4055107851986124,0.0669795042273936,0.5151820679762451,0.0,-1.9876723574022512,8,24,2,,,,,,,"[0.7259000945626479, 0.09134865844801833, 0.1827512469893338]","[0, 1, 2]",1.0,0.0,0.0,0.1827512469893338,3.0,"[1.0, 0.9999999999999999, 0.9999999999999999]"
Toy2,0,ce_brpc,BRPC,CE,0,0.2,0.2,0.22749577250333075,0.22749577250333075,1.1338368318017913,0.1,1.1338368318017913,0.002587716325344361,0.0006048140044439351,0.0,1.1306443014720031,1.1338368318017913,0.002587716325344361,0.0006048140044439351,0.0,1.1306443014720031,8,8,2,2.0,0.5221439266278478,0.0622756108306535,7.999858140635122,8.0,1.0000000000000002,,,,,,,,
Toy2,0,ce_brpc,BRPC,CE,1,0.22749577250333075,0.22749577250333075,0.04074764405855508,0.04074764405855508,0.1815754916932522,1.0,0.1815754916932522,8.301852481613495e-05,0.027899890782101144,0.0,0.15359258238633494,1.3154123234950434,0.002670734850160496,0.028504704786545078,0.0,1.284236883858338,8,16,2,3.0,0.5356687159187844,0.0633473538532082,7.999858141284919,8.0,0.9999999999999998,,,,,,,,
Toy2,0,ce_brpc,BRPC,CE,2,0.04074764405855508,0.04074764405855508,0.0,0.0,0.06555590669596825,1.0,0.06555590669596825,0.0,0.0013282963970581592,0.0,0.0642276102989101,1.3809682301910118,0.002670734850160496,0.029833001183603238,0.0,1.3484644941572481,8,24,2,4.0,0.5356120716465245,0.06451008642421786,7.999858141309483,8.0,1.0000000000000002,,,,,,,,
Toy2,0,ps_brpc,BRPC,PS,0,0.2,0.2,0.5410090176281305,0.5410090176281305,-0.20079206977839117,0.1,-0.20079206977839117,0.01463453785774774,0.09302972008296208,0.0,-0.308456327719101,-0.20079206977839117,0.01463453785774774,0.09302972008296208,0.0,-0.308456327719101,8,8,2,2.0,0.22526441786577076,0.02510228369160376,8.0,8.0,1.0,,,,,,,,
Toy2,0,ps_brpc,BRPC,PS,1,0.5410090176281305,0.5410090176281305,0.4234683489032541,0.4234683489032541,0.6709804841580131,1.0,0.6709804841580131,0.008966272126142406,0.011052647043432909,0.0,0.6509615649884378,0.470188414379622,0.023600809983890147,0.10408236712639499,0.0,0.34250523726933685,8,16,2,3.0,0.49850967190084633,0.0021436239875375625,8.0,8.0,1.0,,,,,,,,
Toy2,0,ps_brpc,BRPC,PS,2,0.4234683489032541,0.4234683489032541,0.46795319119928697,0.46795319119928697,1.0131129890160642,1.0,1.0131129890160642,0.010949009457679822,0.0015831209552823336,0.0,1.000580858603102,1.4833014033956862,0.03454981944156997,0.10566548808167732,0.0,1.3430860958724389,8,24,2,4.0,0.5316727006170783,0.0006197345544057531,5.293755437263061,8.0,1.0,,,,,,,,
Toy2,0,ce_bbrpc,BOCPD-BRPC,CE,0,0.2,0.2,0.34136573116570973,0.34136573116570973,0.1607037634364215,0.1,0.1607037634364215,0.00582652812071498,0.015987415958412573,0.0,0.13888981935729394,0.1607037634364215,0.00582652812071498,0.015987415958412573,0.0,0.13888981935729394,8,8,2,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0000000000000002]
Toy2,0,ce_bbrpc,BOCPD-BRPC,CE,1,0.34136573116570973,0.34136573116570973,0.28718874342538636,0.28718874342538636,0.6636716609475275,1.0,0.6636716609475275,0.00412386871751262,0.002348116800492119,0.0,0.6571996754295228,0.824375424383949,0.009950396838227599,0.01833553275890469,0.0,0.7960894947868168,8,16,2,,,,,,,"[0.7781236512683222, 0.22187634873167772]","[0, 1]",0.9999999999999999,0.0,0.0,0.22187634873167772,2.0,"[1.0, 1.0]"
Toy2,0,ce_bbrpc,BOCPD-BRPC,CE,2,0.28718874342538636,0.28718874342538636,0.33825253760435303,0.33825253760435303,0.3801061517925261,1.0,0.3801061517925261,0.005720738959789213,0.0020860088607614967,0.0,0.3722994039719754,1.204481576176475,0.01567113579801681,0.020421541619666188,0.0,1.1683888987587923,8,24,2,,,,,,,"[0.54398217027827, 0.45601782972172994]","[1, 2]",1.0,1.0,1.0,0.45601782972172994,2.0,"[1.0, 1.0]"
Toy2,0,ps_bbrpc,BOCPD-BRPC,PS,0,0.2,0.2,0.28718874342538636,0.28718874342538636,0.6222787275417971,0.1,0.6222787275417971,0.00412386871751262,0.006081501584078282,0.0,0.6120733572402063,0.6222787275417971,0.00412386871751262,0.006081501584078282,0.0,0.6120733572402063,8,8,2,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0]
Toy2,0,ps_bbrpc,BOCPD-BRPC,PS,1,0.28718874342538636,0.28718874342538636,0.0,0.0,0.04434233312180287,1.0,0.04434233312180287,0.0,0.06598189948020193,0.0,-0.02163956635839906,0.6666210606636,0.00412386871751262,0.07206340106428022,0.0,0.5904337908818073,8,16,2,,,,,,,"[0.8752878831900065, 0.12471211680999356]","[0, 1]",1.0,0.0,0.0,0.12471211680999356,2.0,"[0.9999999999999998, 1.0000000000000002]"
Toy2,0,ps_bbrpc,BOCPD-BRPC,PS,2,0.0,0.0,0.17141631909099098,0.17141631909099098,1.180600467806931,1.0,1.180600467806931,0.001469177722535222,0.023506843560563553,0.0,1.1556244465238321,1.8472215284705311,0.005593046440047842,0.09557024462484377,0.0,1.7460582374056393,8,24,2,,,,,,,"[0.7067054869018511, 0.12039620412755661, 0.17289830897059233]","[0, 1, 2]",1.0,0.0,0.0,0.17289830897059233,3.0,"[0.9999999999999999, 0.9999999999999998, 1.0]"
