u0,ce_cost,cautious_cost,bayes_dual_cost
-0.03000000000000025,2.6622500000000002,3.113208333333333,3.1253821910846953
0.0,2.75,3.208333333333334,3.208333333333334
0.029999999999999805,2.842249999999999,3.343208333333333,3.205685511162735
0.06000000000000005,2.939000000000001,3.517833333333335,3.207142372371503
0.08999999999999986,3.0402500000000003,3.7322083333333325,3.2437397747362624
0.1200000000000001,3.146000000000001,3.9863333333333344,3.3195366332012552
0.1499999999999999,3.25625,4.2802083333333325,3.4322113720518224
0.17999999999999972,3.3709999999999996,4.613833333333331,3.5787969182639263
0.20999999999999996,3.4902500000000005,4.987208333333334,3.7568570055121926
0.23999999999999977,3.614,5.400333333333331,3.9645241083622396
0.27,3.742250000000001,5.853208333333335,4.200372198125054
0.2999999999999998,3.875,6.34583333333333,4.463305221441137
0.33000000000000007,4.012250000000001,6.878208333333336,4.7524755901867435
0.3599999999999999,4.154000000000001,7.450333333333332,5.067224663232183
0.3899999999999997,4.300249999999999,8.062208333333327,5.407038347961746
0.41999999999999993,4.4510000000000005,8.713833333333334,5.771513515088811
0.44999999999999973,4.60625,9.40520833333333,6.160332445417466
0.48,4.766,10.136333333333335,6.573243354358269
0.5099999999999998,4.93025,10.907208333333333,7.01004553952596
0.54,5.099000000000001,11.717833333333338,7.470578042887471
0.5699999999999998,5.27225,12.56820833333333,7.9547109795530995
0.5999999999999996,5.449999999999998,13.458333333333327,8.462338887152415
0.6299999999999999,5.632250000000001,14.388208333333333,8.993375606116864
0.6599999999999997,5.818999999999999,15.357833333333325,9.547750321275801
0.69,6.01025,16.367208333333338,10.125404486486161
0.7199999999999998,6.2059999999999995,17.416333333333327,10.726289422908055
0.75,6.406250000000002,18.50520833333334,11.350364433241168
0.7799999999999998,6.611,19.633833333333328,11.997595312925629
0.81,6.820250000000002,20.80220833333334,12.66795316823765
0.8399999999999999,7.034,22.010333333333335,13.361413472851133
0.8699999999999997,7.2522499999999965,23.25820833333332,14.077955310659238
0.8999999999999999,7.4750000000000005,24.54583333333333,14.817560764843764
0.9299999999999997,7.702249999999999,25.87320833333333,15.58021442237943
0.96,7.933999999999999,27.24033333333334,16.365902970126744
0.9899999999999998,8.17025,28.647208333333335,17.174614863965928
1.0199999999999996,8.410999999999998,30.093833333333315,18.006340056473977
1.0499999999999998,8.65625,31.58020833333334,18.861069771754945
1.08,8.906000000000002,33.106333333333346,19.738796318431504
1.1099999999999994,9.160249999999998,34.67220833333331,20.63951293366461
1.1399999999999997,9.419,36.27783333333333,21.563213652515067
1.17,9.68225,37.923208333333335,22.509893198093593
1.2000000000000002,9.950000000000003,39.608333333333356,23.479546888836676
1.2299999999999995,10.222249999999997,41.33320833333332,24.47217055994843
1.2599999999999998,10.498999999999999,43.09783333333333,25.487760496607027
1.29,10.780250000000002,44.90220833333335,26.526313376978173
1.3200000000000003,11.066000000000006,46.746333333333375,27.58782622343518
1.3499999999999996,11.35625,48.630208333333314,28.67229636067009
1.38,11.651,50.55383333333335,29.779721379611658
1.4100000000000001,11.950250000000004,52.51720833333337,30.910099106252634
1.4399999999999995,12.254,54.520333333333326,32.06342757464156
1.4699999999999998,12.562249999999999,56.56320833333334,33.239705003417704
1.5,12.875,58.64583333333337,34.43892977536978
1.5300000000000002,13.192250000000003,60.7682083333334,35.66110041958305
1.5599999999999996,13.513999999999996,62.93033333333338,36.90621559580794
1.5899999999999999,13.840250000000001,65.13220833333492,38.17427408074108
1.62,14.171,67.37383333334016,39.46527475595605
1.6499999999999995,14.506249999999994,69.65520833334904,40.779216597262355
1.6799999999999997,14.846,71.97633333336177,42.11609866530253
1.71,15.190250000000002,74.33720833337814,43.475920097225796
1.7400000000000002,15.539000000000003,76.73783333339829,44.85868009930034
1.7699999999999996,15.892249999999994,79.17820833342206,46.26437794034478
1.7999999999999998,16.25,81.6583333334509,47.693012945877456
1.83,16.612250000000007,84.1782083339382,49.14458449289465
1.8599999999999994,16.978999999999992,86.73783333525135,50.619092005202134
1.8899999999999997,17.350249999999996,89.3372083373911,52.11653494923431
1.92,17.726,91.97633334035734,53.63691283030287
1.9500000000000002,18.106250000000006,94.6552083441503,55.18022518922609
1.9799999999999995,18.491,97.37383334876995,56.74647159929465
2.01,18.88025,100.13220835421652,58.33565166353672
