experiment,controller,mean_total,stderr,mean_clair_gap,mean_observed
scalar_multimodal,bayes2_rw,15.02666863788467,0.8913010156406859,1.0066700527427879,120.0
scalar_multimodal,bayes2_static,15.035657222036042,0.9150420018417671,1.0156586368941576,120.0
scalar_multimodal,cautious_rw,19.79450513462678,1.2462828584636385,5.7745065494849,120.0
scalar_multimodal,cautious_static,19.806403822179504,1.2530981319427923,5.786405237037623,120.0
scalar_multimodal,ce_rw,15.871598052693502,0.6562376068347476,1.8515994675516185,120.0
scalar_multimodal,ce_static,15.869598629060814,0.6922841905865336,1.84960004391893,120.0
scalar_multimodal,clairvoyant,14.019998585141883,0.524243908447602,0.0,120.0
scalar_multimodal,scheduled_probe,30.367425887321172,2.406473521831953,16.347427302179288,120.0
scalar_nonsmooth,ad_rw,29.147878802920093,2.088186486677632,1.0933972780613654,120.0
scalar_nonsmooth,ad_static,29.105504926822416,2.0934890785608187,1.0510234019636897,120.0
scalar_nonsmooth,bayes2_rw,28.626014042545975,1.6243013303356635,0.5715325176872504,120.0
scalar_nonsmooth,bayes2_static,28.886032842035526,1.731578976702752,0.8315513171767982,120.0
scalar_nonsmooth,cautious_rw,43.49484322773568,2.005231171115191,15.44036170287695,120.0
scalar_nonsmooth,cautious_static,43.39748378251506,2.0006062930364417,15.343002257656336,120.0
scalar_nonsmooth,ce_rw,30.869892977705405,1.2690517163620365,2.8154114528466776,120.0
scalar_nonsmooth,ce_static,30.596652260021525,1.3446511312047635,2.542170735162799,120.0
scalar_nonsmooth,clairvoyant,28.054481524858726,1.0541754645020325,0.0,120.0
scalar_nonsmooth,scheduled_probe,41.499638636038505,1.5643562285158263,13.445157111179782,120.0
scalar_ou,ad_rw,9.963906366820458,0.3069777311404197,0.4922060853959813,80.0
scalar_ou,ad_static,9.970656179268952,0.3047736770228068,0.4989558978444742,80.0
scalar_ou,bayes2_rw,11.232195767757277,0.5930606086486363,1.7604954863328002,80.0
scalar_ou,bayes2_static,11.232195767757277,0.5930606086486363,1.7604954863328002,80.0
scalar_ou,cautious_rw,11.814428531549552,0.9393244601003466,2.342728250125076,80.0
scalar_ou,cautious_static,11.797388934067959,0.9408569323399005,2.325688652643482,80.0
scalar_ou,ce_rw,10.558293441823347,0.2982747100520449,1.0865931603988692,80.0
scalar_ou,ce_static,10.585546272137654,0.30962027767397815,1.1138459907131764,80.0
scalar_ou,clairvoyant,9.471700281424477,0.2605259359845813,0.0,80.0
scalar_ou,scheduled_probe,20.475577844618442,0.743639306843546,11.003877563193964,80.0
scalar_sparse_m10,ad_rw,2009.4271903060514,1786.2017241741576,1999.6289026531415,8.0
scalar_sparse_m10,ad_static,2009.4271903060514,1786.2017241741576,1999.6289026531415,8.0
scalar_sparse_m10,bayes2_rw,1090.6894282988294,977.6324337319054,1080.8911406459194,8.0
scalar_sparse_m10,bayes2_static,1090.7861456141272,977.6206177199454,1080.9878579612173,8.0
scalar_sparse_m10,cautious_rw,32.88919243201687,2.8087404404683878,23.09090477910687,8.0
scalar_sparse_m10,cautious_static,32.88919243201687,2.8087404404683878,23.09090477910687,8.0
scalar_sparse_m10,ce_rw,11.145193948345252,0.4283802541331362,1.346906295435256,8.0
scalar_sparse_m10,ce_static,11.145193948345252,0.4283802541331362,1.346906295435256,8.0
scalar_sparse_m10,clairvoyant,9.798287652909996,0.3177725430627301,0.0,8.0
scalar_sparse_m10,scheduled_probe,11.145193948345252,0.4283802541331362,1.346906295435256,8.0
scalar_static,ad_rw,10.20114207105301,0.5903822697886699,0.8311037125614931,80.0
scalar_static,ad_static,10.186886558383346,0.5891165880983051,0.8168481998918292,80.0
scalar_static,bayes2_rw,11.20304955259961,0.9265411261026165,1.8330111941080938,80.0
scalar_static,bayes2_static,11.209076292819551,0.9273777540099486,1.8390379343280336,80.0
scalar_static,cautious_rw,15.390410747447342,4.656393677994733,6.020372388955826,80.0
scalar_static,cautious_static,16.500987910251137,5.741951057360911,7.1309495517596195,80.0
scalar_static,ce_rw,10.477547114611182,0.31126320031977717,1.107508756119666,80.0
scalar_static,ce_static,10.472176104800667,0.3127224555185379,1.1021377463091504,80.0
scalar_static,clairvoyant,9.370038358491517,0.29139173278837444,0.0,80.0
scalar_static,scheduled_probe,19.947641704843537,0.7304024573674636,10.577603346352022,80.0
