environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,predicted_reward,realized_reward,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums,oracle_kind
Toy1,5,ps_brpc,BRPC,PS,0,0.0,0.0,0.584015386520943,0.5458349699741177,0.5458349699741177,0.85,nan,-0.08526849292330162,-0.0,0.017053698584660323,0.06821479433864129,0.0,-0.08526849292330162,0.0,0.017053698584660323,0.06821479433864129,0.0,-0.08526849292330162,256,256,4,2.0,0.9772304557016429,0.027266716620545903,28.971597512739528,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,1,0.5458349699741177,0.584015386520943,0.19703601913289293,0.7745033193831892,0.7745033193831892,0.8681818181818182,nan,-0.32982758024524395,-0.297935814446646,0.0019411596417868873,0.029950606156811083,0.0,-0.32982758024524395,-0.297935814446646,0.01899485822644721,0.09816540049545237,0.0,-0.4150960731685456,256,512,4,3.0,0.9969283602331511,0.023248835316005006,27.227159473356863,32.0,0.9999999999999998,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,2,0.7745033193831892,0.19703601913289293,-0.07770039942160573,0.7098373987600417,0.7098373987600417,0.8863636363636364,nan,-0.6152532792751226,-0.5998553917355783,0.0003018676035138534,0.015096019936030533,0.0,-0.6152532792751226,-0.8977912061822244,0.019296725829961066,0.1132614204314829,0.0,-1.0303493524436682,256,768,4,4.0,1.0052171194532689,0.017955012949435058,24.33161168748411,32.0,0.9999999999999998,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,3,0.7098373987600417,-0.07770039942160573,-0.020314607815128744,0.7347740586034303,0.7347740586034303,0.9045454545454545,nan,-0.5045483926586171,-0.5038691326784225,2.0634164534124494e-05,0.0006586258156604009,0.0,-0.5045483926586171,-1.4016603388606468,0.01931735999449519,0.1139200462471433,0.0,-1.5348977451022852,256,1024,4,5.0,1.022180471327589,0.015221412116635968,22.445309431267304,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,4,0.7347740586034303,-0.020314607815128744,-0.0418508275161818,0.7028373910988421,0.7028373910988421,0.9227272727272727,nan,-0.540073253536549,-0.5398929171965572,8.757458818945997e-05,9.276175180240515e-05,0.0,-0.540073253536549,-1.941553256057204,0.01940493458268465,0.11401280799894571,0.0,-2.0749709986388343,256,1280,4,6.0,1.0251623202558187,0.013372179521079657,20.807980115396987,32.0,1.0000000000000002,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,5,0.7028373910988421,-0.0418508275161818,0.027476748048051988,0.7636725916731959,0.7636725916731959,0.9409090909090909,nan,-0.4949794094575145,-0.49398039832662677,3.774858416480644e-05,0.0009612625467229092,0.0,-0.4949794094575145,-2.4355336543838306,0.019442683166849457,0.11497407054566862,0.0,-2.5699504080963487,256,1536,4,7.0,1.0308725207505784,0.011491219210859526,19.615925369932974,32.0,0.9999999999999999,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,6,0.7636725916731959,0.027476748048051988,0.03250827049606701,0.8413013255216046,0.8413013255216046,0.9590909090909091,nan,-0.00024484238922319474,-0.00018693976306194586,5.2839382532273056e-05,5.063243628975821e-06,0.0,-0.00024484238922319474,-2.4357205941468925,0.01949552254938173,0.1149791337892976,0.0,-2.570195250485572,256,1792,4,8.0,1.032019750178276,0.010213654333184712,18.48392188880906,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,7,0.8413013255216046,0.03250827049606701,-0.03145811737317961,0.8993450299393748,0.8993450299393748,0.9772727272727273,nan,-0.009203752454843032,-0.008335932042002014,4.948065743323725e-05,0.0008183397554077806,0.0,-0.009203752454843032,-2.4440565261888945,0.019545003206814966,0.11579747354470538,0.0,-2.579399002940415,256,2048,4,9.0,1.045823378765246,0.009919357510175444,17.27485927363555,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,8,0.8993450299393748,-0.03145811737317961,-0.13912399509431142,0.8547127090407715,0.8547127090407715,0.9954545454545455,nan,-0.025590100513235202,-0.022303937967592762,0.0009677743005500994,0.0023183882450923416,0.0,-0.025590100513235202,-2.4663604641564874,0.020512777507365066,0.11811586178979772,0.0,-2.6049891034536503,256,2304,4,10.0,1.0495968795495245,0.009222529141739221,32.0,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,9,0.8547127090407715,-0.13912399509431142,-0.14250348031106688,0.7921402876902772,0.7921402876902772,1.0136363636363637,nan,-0.011982397713761646,-0.01096475143465726,0.0010153620950383315,2.284184066053743e-06,0.0,-0.011982397713761646,-2.4773252155911445,0.021528139602403396,0.11811814597386378,0.0,-2.616971501167412,256,2560,4,11.0,1.0617255682645677,0.007198342846800048,31.340895832652006,32.0,0.9999999999999998,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,10,0.7921402876902772,-0.14250348031106688,-0.1220789712125062,0.7776692545488696,0.7776692545488696,1.0318181818181817,nan,-0.0026043997216179636,-0.00177580384661933,0.000745163760615196,8.343211438343761e-05,0.0,-0.0026043997216179636,-2.479101019437764,0.022273303363018592,0.11820157808824722,0.0,-2.61957590088903,256,2816,4,12.0,1.068279909526178,0.005659975671557084,29.88818735766131,32.0,1.0,,,,,,,,,
Toy1,5,ps_brpc,BRPC,PS,11,0.7776692545488696,-0.1220789712125062,-0.06672165984459667,0.7796576905489893,0.7796576905489893,1.05,nan,-0.0016010630262877808,-0.0007655876472901406,0.0002225889946209032,0.0006128863843767371,0.0,-0.0016010630262877808,-2.479866607085054,0.022495892357639494,0.11881446447262395,0.0,-2.6211769639153175,256,3072,4,13.0,1.0707152141273122,0.00496157091756122,29.076928815677647,32.0,1.0,,,,,,,,,
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,0,0.0,0.0,0.5105415034871569,0.4699484465930232,0.4699484465930232,0.85,nan,-0.06516315669573165,-0.0,0.01303263133914633,0.05213052535658533,0.0,-0.06516315669573165,0.0,0.01303263133914633,0.05213052535658533,0.0,-0.06516315669573165,256,256,4,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0],
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,1,0.4699484465930232,0.5105415034871569,0.24278326205007572,0.7499859212445817,0.7499859212445817,0.8681818181818182,nan,-0.238137623243275,-0.2208515424551956,0.002947185616583787,0.01433889517149565,0.0,-0.238137623243275,-0.2208515424551956,0.015979816955730117,0.06646942052808098,0.0,-0.30330077993900667,256,512,4,,,,,,,"[0.8792743753880543, 0.12072562461194557]","[0, 1]",0.9999999999999999,0.0,0.0,0.12072562461194557,2.0,"[1.0, 1.0000000000000002]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,2,0.7499859212445817,0.24278326205007572,-0.006946403082793796,0.7583614758942016,0.7583614758942016,0.8863636363636364,nan,-0.5749542758203485,-0.562478882065084,2.412625789432358e-06,0.012472981129475029,0.0,-0.5749542758203485,-0.7833304245202796,0.01598222958151955,0.078942401657556,0.0,-0.8782550557593551,256,768,4,,,,,,,"[0.8373330711411461, 0.09771724140455866, 0.06494968745429532]","[0, 1, 2]",1.0,0.0,0.0,0.06494968745429532,3.0,"[0.9999999999999998, 1.0, 1.0000000000000002]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,3,0.7583614758942016,-0.006946403082793796,-0.020096785409435325,0.780371882909279,0.780371882909279,0.9045454545454545,nan,-0.5751669086706886,-0.5751121281204317,2.019403918964463e-05,3.4586511067369174e-05,0.0,-0.5751669086706886,-1.3584425526407111,0.016002423620709194,0.07897698816862338,0.0,-1.453421964430044,256,1024,4,,,,,,,"[0.8136181474967731, 0.09307203129000298, 0.05142274646374523, 0.0418870747494789]","[0, 1, 2, 3]",1.0000000000000002,0.0,0.0,0.0418870747494789,4.0,"[1.0, 1.0, 1.0, 0.9999999999999999]",
Toy1,5,ce_bbrpc,BOCPD-BRPC,CE,4,0.780371882909279,-0.020096785409435325,-0.06692419887308677,0.7210405271994369,0.7210405271994369,0.9227272727272727,nan,-0.6096427793854527,-0.6089802756353734,0.00022394241974022346,0.000438561330339153,0.0,-0.6096427793854527,-1.9674228282760846,0.016226366040449417,0.07941554949896253,0.0,-2.0630647438154965,256,1280,4,,,,,,,"[0.8041601792422874, 0.0913409594107081, 0.05395662151778069, 0.050542239829223706]","[0, 1, 4, 2]",0.9999999999999999,0.0,0.0,0.05395662151778069,4.0,"[0.9999999999999999, 1.0, 1.0, 1.0]",
