environment,seed,baseline,calibration,planner,steps,cold_start_transitions,total_task_reward,total_energy_cost,total_switching_cost,total_failure_cost,total_net_reward,mean_net_reward_per_step,planner_queries_total,mean_planner_queries_per_step,restart_count
Toy2,3,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.109095311847295,0.19960249102869967,0.2744602428966218,0.0,15.635032577921972,1.3029193814934976,3072,256.0,0
Toy2,4,ce_brpc,BRPC,CE,12,4,14.435811829830962,0.024659231374799914,0.00470948925922893,0.0,14.406443109196937,1.2005369257664114,3072,256.0,0
Toy2,4,ps_brpc,BRPC,PS,12,4,14.267543644287048,0.024695387350633282,0.009440219796549463,0.0,14.233408037139863,1.186117336428322,3072,256.0,0
Toy2,4,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.309152248611548,0.023498611136208665,0.009307008272827584,0.0,14.276346629202514,1.1896955524335429,3072,256.0,0
Toy2,4,ps_bbrpc,BOCPD-BRPC,PS,12,4,13.95928214722009,0.051840174161999084,0.561161481197669,0.0,13.346280491860425,1.1121900409883687,3072,256.0,0
Toy2,4,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,15.545693114638965,0.14723716690212685,0.11866181667544248,0.0,15.279794131061397,1.2733161775884498,3072,256.0,0
Toy2,4,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,15.113697613441971,0.12227547345458017,0.1676753712369268,0.0,14.823746768750464,1.2353122307292053,3072,256.0,0
Toy2,5,ce_brpc,BRPC,CE,12,4,14.0308799305526,0.02382456341341559,0.005888969769081532,0.0,14.001166397370104,1.1667638664475086,3072,256.0,0
Toy2,5,ps_brpc,BRPC,PS,12,4,13.831013204389093,0.026737385297049564,0.008827589711881946,0.0,13.795448229380161,1.1496206857816802,3072,256.0,0
Toy2,5,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.216619477934128,0.023662514252551486,0.0046073591044845695,0.0,14.18834960457709,1.1823624670480908,3072,256.0,0
Toy2,5,ps_bbrpc,BOCPD-BRPC,PS,12,4,14.101128981069607,0.023485824752704085,0.0054040135123156014,0.0,14.072239142804587,1.1726865952337155,3072,256.0,0
Toy2,5,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,15.357192845695995,0.15572929339942423,0.14295445188184536,0.0,15.058509100414724,1.2548757583678938,3072,256.0,0
Toy2,5,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,15.553360259563334,0.18319657990813973,0.12690212287790847,0.0,15.243261556777284,1.270271796398107,3072,256.0,0
Toy2,6,ce_brpc,BRPC,CE,12,4,14.343225495878812,0.023920050510065276,0.004896063746500498,0.0,14.314409381622248,1.1928674484685207,3072,256.0,0
Toy2,6,ps_brpc,BRPC,PS,12,4,14.219351370580931,0.02505286697163552,0.010841265327537045,0.0,14.183457238281758,1.1819547698568131,3072,256.0,0
Toy2,6,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.101407242407914,0.02563764655438922,0.013275400854234624,0.0,14.062494194999292,1.171874516249941,3072,256.0,0
Toy2,6,ps_bbrpc,BOCPD-BRPC,PS,12,4,13.681573983143641,0.05564851760482176,0.5484110987387429,0.0,13.077514366800079,1.0897928639000065,3072,256.0,0
Toy2,6,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.048737443070316,0.1708241668374793,0.3287752015742937,0.0,15.549138074658545,1.2957615062215455,3072,256.0,0
Toy2,6,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.1563596527591,0.19802922887778285,0.2468185943325946,0.0,15.711511829548721,1.3092926524623933,3072,256.0,0
Toy2,7,ce_brpc,BRPC,CE,12,4,13.964217819417808,0.022895149560716768,0.018421592154365306,0.0,13.922901077702726,1.1602417564752272,3072,256.0,0
Toy2,7,ps_brpc,BRPC,PS,12,4,13.370337488843282,0.08578296227388807,0.6050686245376008,0.0,12.679485902031796,1.0566238251693163,3072,256.0,0
Toy2,7,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.106234161646306,0.02534054357251867,0.006438341769255201,0.0,14.074455276304532,1.1728712730253776,3072,256.0,0
Toy2,7,ps_bbrpc,BOCPD-BRPC,PS,12,4,13.347139983221512,0.08438368950420141,0.5156119132421052,0.0,12.747144380475206,1.0622620317062672,3072,256.0,0
Toy2,7,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.02477421795693,0.1933838519100439,0.2703956193160474,0.0,15.560994746730847,1.2967495622275707,3072,256.0,0
Toy2,7,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,15.617224355647796,0.18665570273509652,0.12420276693613738,0.0,15.306365885976563,1.275530490498047,3072,256.0,0
Toy2,8,ce_brpc,BRPC,CE,12,4,14.019448442449317,0.02636293895278986,0.01456257626345253,0.0,13.978522927233074,1.164876910602756,3072,256.0,0
Toy2,8,ps_brpc,BRPC,PS,12,4,12.928676985660852,0.03359007931883516,0.09429205734238602,0.0,12.800794848999633,1.0667329040833027,3072,256.0,0
Toy2,8,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.623192683106142,0.02349589065668243,0.0039014206910811308,0.0,14.59579537175838,1.2163162809798649,3072,256.0,0
Toy2,8,ps_bbrpc,BOCPD-BRPC,PS,12,4,13.477015085755333,0.08315073968211185,0.5181331854168384,0.0,12.87573116065638,1.072977596721365,3072,256.0,0
Toy2,8,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,16.609039856000507,0.20019492715732973,0.31600739841595443,0.0,16.092837530427225,1.3410697942022687,3072,256.0,0
Toy2,8,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.644300162802267,0.2039979451345823,0.30807170998843625,0.0,16.132230507679246,1.3443525423066038,3072,256.0,0
Toy2,9,ce_brpc,BRPC,CE,12,4,14.205618949886698,0.02619905172108678,0.007544026754089221,0.0,14.17187587141152,1.18098965595096,3072,256.0,0
Toy2,9,ps_brpc,BRPC,PS,12,4,14.187810896258851,0.025087329722274763,0.009665400158524021,0.0,14.153058166378052,1.1794215138648376,3072,256.0,0
Toy2,9,ce_bbrpc,BOCPD-BRPC,CE,12,4,14.290186174828708,0.02295944252915979,0.006807913373725161,0.0,14.260418818925825,1.1883682349104854,3072,256.0,0
Toy2,9,ps_bbrpc,BOCPD-BRPC,PS,12,4,12.000079356913584,0.1780311884968735,0.561273584814153,0.0,11.260774583602556,0.9383978819668797,3072,256.0,0
Toy2,9,oracle_current,true_current_dynamics,CEM-MPC oracle,12,4,15.1684809318661,0.1390333750359915,0.28345155453741766,0.0,14.745996002292689,1.2288330001910575,3072,256.0,0
Toy2,9,oracle_future,future_regime_path_appendix_ceiling,CEM-MPC oracle,12,4,16.54241472130755,0.20369256513788211,0.2882601108705342,0.0,16.05046204529913,1.3375385037749277,3072,256.0,0
