u0,ce_cost,kh_dual_cost
-0.4950000000000001,1.7275749999999999,4.631286067276511
-0.48,1.73605,4.480213648259134
-0.4650000000000003,1.7455749999999999,4.335097409719843
-0.4500000000000002,1.7563,4.195971968270721
-0.43500000000000005,1.7680749999999998,4.062908335480683
-0.41999999999999993,1.78105,3.9358977853445554
-0.40500000000000025,1.7950749999999998,3.8149175041360457
-0.3900000000000001,1.8103,3.700011100263186
-0.375,1.826575,3.5912602109831475
-0.3600000000000003,1.8440499999999995,3.4887282456001074
-0.3450000000000002,1.8625749999999996,3.3925336377440383
-0.33000000000000007,1.8822999999999999,3.302753427869529
-0.31499999999999995,1.9030749999999999,3.2194199476840994
-0.30000000000000027,1.9250499999999995,3.142566294417981
-0.28500000000000014,1.9480749999999998,3.0723152660968567
-0.27,1.9723,3.008788838614209
-0.2549999999999999,1.9975750000000003,2.9522646215094666
-0.2400000000000002,2.0240499999999995,2.902831783447443
-0.2250000000000001,2.0515749999999997,2.860472532350874
-0.20999999999999996,2.0803000000000003,2.8255180480627526
-0.19500000000000028,2.1100749999999993,2.7983283773321457
-0.18000000000000016,2.14105,2.7791488483159643
-0.16500000000000004,2.173075,2.768301503960564
-0.1499999999999999,2.2063,2.766521054999557
-0.13500000000000023,2.2405749999999998,2.7743817310180425
-0.1200000000000001,2.2760499999999997,2.792293358408179
-0.10499999999999998,2.3125750000000003,2.8211100345642146
-0.0900000000000003,2.350299999999999,2.8618358843305267
-0.07500000000000018,2.389074999999999,2.914965747712241
-0.06000000000000005,2.42905,2.979633202441166
-0.04499999999999993,2.470075,3.0526878520406315
-0.03000000000000025,2.5122999999999998,3.1254928784190326
-0.015000000000000124,2.5555749999999997,3.1822600833456303
0.0,2.60005,3.208607957718321
0.01499999999999968,2.645574999999999,3.211037879495092
0.029999999999999805,2.6922999999999995,3.2059150580810494
0.04499999999999993,2.740075,3.2032161172692772
0.06000000000000005,2.78905,3.2074847504449004
0.07499999999999973,2.8390749999999993,3.2207343921713845
0.08999999999999986,2.8903,3.243919573414553
0.10499999999999998,2.942575,3.2770301267312534
0.1200000000000001,2.9960500000000003,3.3197052678355465
0.1349999999999998,3.0505749999999994,3.3717960928042547
0.1499999999999999,3.1062999999999996,3.432430728357745
