environment,twin_gap,regime,seed,baseline,total_cost,task_cost,energy_cost,switch_cost,failure_cost,terminal_cost,failures,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,no_gap,drifting,1,oracle_trend,0.5351892523825845,0.4561955082196532,0.003,0.060000000000000005,0.0,0.01599374416293143,0,30,30,1,0.0
cartpole,gap,static,0,kh_dual_control,0.8384676264594724,0.6941346406423482,0.012,0.12,0.0,0.012332985817124014,0,30,30,1,-0.06635571634620319
cartpole,gap,static,0,arcari_dual_smpc,0.8384676264594724,0.6941346406423482,0.012,0.12,0.0,0.012332985817124014,0,30,30,1,-0.06635571634620319
cartpole,gap,static,0,tv_gp_lcb,534.2508867833785,26.979643211023085,0.022000000000000006,0.47000000000000003,500.0,6.779243572355522,5,30,30,1,533.3460634405728
cartpole,gap,static,0,oracle_trend,0.9048233428056756,0.7272634579465769,0.018000000000000002,0.14,0.0,0.019559884859098722,0,30,30,1,0.0
cartpole,gap,static,1,kh_dual_control,0.9081843062237893,0.7241018123834195,0.017000000000000005,0.13,0.0,0.037082493840370045,0,30,30,1,-0.05205819826577385
cartpole,gap,static,1,arcari_dual_smpc,0.9081843062237893,0.7241018123834195,0.017000000000000005,0.13,0.0,0.037082493840370045,0,30,30,1,-0.05205819826577385
cartpole,gap,static,1,tv_gp_lcb,742.3760311508956,34.4054807696052,0.022000000000000006,0.45,700.0,7.498550381290375,7,30,30,1,741.4157886464061
cartpole,gap,static,1,oracle_trend,0.9602425044895632,0.7772196970200098,0.022000000000000006,0.15000000000000002,0.0,0.011022807469553461,0,30,30,1,0.0
cartpole,gap,piecewise,0,kh_dual_control,0.8784576147401056,0.7117498383209319,0.015000000000000003,0.12999999999999998,0.0,0.021707776419173756,0,30,30,1,0.02829540145911935
cartpole,gap,piecewise,0,arcari_dual_smpc,0.8784576147401056,0.7117498383209319,0.015000000000000003,0.12999999999999998,0.0,0.021707776419173756,0,30,30,1,0.02829540145911935
cartpole,gap,piecewise,0,tv_gp_lcb,435.6018715153811,27.588064593559913,0.024000000000000007,0.55,400.0,7.439806921821168,4,30,30,1,434.7517093021001
cartpole,gap,piecewise,0,oracle_trend,0.8501622132809863,0.6801977225204796,0.021000000000000005,0.14,0.0,0.008964490760506778,0,30,30,1,0.0
cartpole,gap,piecewise,1,kh_dual_control,0.8285875409607742,0.6535250458317844,0.019000000000000003,0.14,0.0,0.016062495128989888,0,30,30,1,-0.17660520170833915
