environment,twin_gap,regime,seed,baseline,total_cost,state_cost,energy_cost,switch_cost,nonsmooth_switch_cost,terminal_cost,physical_transitions,observed_transitions,observation_interval,oracle_regret
scalar,no_gap,drifting,0,oracle_trend,10.32023894508376,9.780119903528433,0.28125,0.0,0.0,0.2588690415553276,30,3,10,0.0
scalar,no_gap,drifting,1,kh_dual_control,23.41523361218716,22.93749839760832,0.05625000000000001,0.0,0.0,0.4214852145788353,30,3,10,14.535627990676373
scalar,no_gap,drifting,1,arcari_dual_smpc,23.41523361218716,22.93749839760832,0.05625000000000001,0.0,0.0,0.4214852145788353,30,3,10,14.535627990676373
scalar,no_gap,drifting,1,tv_gp_lcb,6464.153948195024,6300.251542534026,22.78125,0.0,0.0,141.12115566099848,30,3,10,6455.274342573513
scalar,no_gap,drifting,1,oracle_trend,8.879605621510786,8.210675881907223,0.28125,0.0,0.0,0.38767973960356195,30,3,10,0.0
scalar,gap,static,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,17.9784252452976
scalar,gap,static,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,17.9784252452976
scalar,gap,static,0,tv_gp_lcb,11382.873282448907,10389.303459359355,23.793749999999996,0.0,0.0,969.7760730895521,30,3,10,11377.612762372954
scalar,gap,static,0,oracle_trend,5.260520075953236,5.146418304855669,0.11250000000000002,0.0,0.0,0.0016017710975663672,30,3,10,0.0
scalar,gap,static,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.32723168445225
scalar,gap,static,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,52.32723168445225
scalar,gap,static,1,tv_gp_lcb,15997.360518629866,14922.243593144485,23.062499999999993,0.0,0.0,1052.0544254853792,30,3,10,15993.029655655871
scalar,gap,static,1,oracle_trend,4.330862973994398,3.982761002911956,0.11250000000000002,0.0,0.0,0.23560197108244205,30,3,10,0.0
scalar,gap,piecewise,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,14.473366806763082
scalar,gap,piecewise,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,3,10,14.473366806763082
scalar,gap,piecewise,0,tv_gp_lcb,5592.3300578599,5425.315993910897,20.362499999999997,0.0,0.0,146.65156394900416,30,3,10,5583.564479345412
scalar,gap,piecewise,0,oracle_trend,8.765578514487753,8.300520930199342,0.28125000000000006,0.0,0.0,0.18380758428841143,30,3,10,0.0
scalar,gap,piecewise,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,51.717099830536554
scalar,gap,piecewise,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,3,10,51.717099830536554
scalar,gap,piecewise,1,tv_gp_lcb,8470.415106182829,8144.924402070386,23.456249999999997,0.0,0.0,302.0344541124446,30,3,10,8465.474111354919
scalar,gap,piecewise,1,oracle_trend,4.940994827910095,4.424776314507009,0.11250000000000002,0.0,0.0,0.4037185134030858,30,3,10,0.0
scalar,gap,drifting,0,kh_dual_control,37.68613179624352,37.420363506548654,0.16875,0.0,0.0,0.09701828969486986,30,3,10,28.899296988281364
scalar,gap,drifting,0,arcari_dual_smpc,37.68613179624352,37.420363506548654,0.16875,0.0,0.0,0.09701828969486986,30,3,10,28.899296988281364
scalar,gap,drifting,0,tv_gp_lcb,1243.901190944231,1216.6973276497074,19.9125,0.0,0.0,7.291363294522982,30,3,10,1235.114356136269
scalar,gap,drifting,0,oracle_trend,8.786834807962158,8.450624863792008,0.28125000000000006,0.0,0.0,0.054959944170149405,30,3,10,0.0
scalar,gap,drifting,1,kh_dual_control,22.668441331972133,22.260579184129135,0.05625000000000001,0.0,0.0,0.3516121478429912,30,3,10,14.9282480029369
scalar,gap,drifting,1,arcari_dual_smpc,22.668441331972133,22.260579184129135,0.05625000000000001,0.0,0.0,0.3516121478429912,30,3,10,14.9282480029369
scalar,gap,drifting,1,tv_gp_lcb,1700.8013681342554,1652.079986699359,19.4625,0.0,0.0,29.258881434896246,30,3,10,1693.0611748052202
scalar,gap,drifting,1,oracle_trend,7.7401933290352325,7.366399554770386,0.16875,0.0,0.0,0.20504377426484463,30,3,10,0.0
